author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Stefan Nagel,Bank Risk Dynamics and Distance to Default,University of Michigan,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 3 & 4",American Finance Association,Credit Risk,G1,Hui Chen,Massachusetts Institute of Technology,Francis Longstaff,University of California-Los Angeles,Nicolae Garleanu,University of California-Berkeley,Antje Berndt,North Carolina State University,George Pennacchi,University of Illinois,,,STEFAN NAGEL,Male,,,,,,NA,NA,NA,NA,NA
Stefan Staubli,"How Does Raising Women’s Full Retirement Age Affect Labor Supply, Income and Mortality",University of Calgary,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 21",American Economic Association,"Couples' Retirement and Social Security around the World (J2, D1)",,Arie Kapteyn,University of Southern California-Los Angeles,Wilbert van der Klaauw,Federal Reserve Bank of New York,Edward Vytlacil,Yale University,Nicole Maestas,Harvard University,David Card,University of California-Berkeley,Yingying Dong,University of California-Irvine,Stefan Staubli,Male,,,,,,NA,NA,NA,NA,NA
Stefania Albanesi,Slowing Women’s Labor Force Participation: The Role of Rising Income Inequality,NY Fed,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 19",Econometric Society,Inequality Dynamics,A1,Fatih Karahan,Federal Reserve Bank of New York,,,,,,,,,,,STEFANIA ALBANESI,Female,,,,,,NA,NA,NA,NA,NA
Stefania Garetto,"Firms' Heterogeneity, Incomplete Information, and Pass-Through",Boston University,Jan 03 2016,8:00 AM,"Hilton Union Square, Yosemite A",American Economic Association,International Trade and Macroeconomics,F4,Fabio Ghironi,University of Washington and NBER,Julien Martin,ESG UQAM,Paul R. Bergin,University of California-Davis and NBER,Stefania Garetto,Boston University,Giancarlo Corsetti,University of Cambridge and CEPR,,,Stefania Garetto,Female,,,,,,NA,NA,NA,NA,NA
Stefania Garetto,The Dynamics of Multinational Activity: Evidence from the U.S,Boston University,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 13",American Economic Association,"New Theory and Evidence on the Dynamics of Multinational Corporations (F1, F6)",,Stefania Garetto,Boston University,Stephen Yeaple,Pennsylvania State University,Javier Cravino,University of Michigan,Andres Rodriguez-Clare,University of California-Berkeley,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,,,Stefania Garetto,Female,,,,,,NA,NA,NA,NA,NA
Stefanie Stantcheva,Capital Taxation and Inventors,Harvard University,Jan 03 2016,8:00 AM,"Hilton Union Square, Franciscan D",American Economic Association,"Empirics of Capital Taxation (H2, G3)",,Marshall Steinbaum,Washington Center for Equitable Growth,Ruud De Mooij,International Monetary Fund,Paul Burnham,Congressional Budget Office,Katherine Cuff,McMaster University,,,,,Stefanie Stantcheva,Female,,,,,,NA,NA,NA,NA,NA
Stefanie Stantcheva,Optimal Taxation and R&D Policies,Harvard University,Jan 04 2016,2:30 PM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"Wealth Taxation (E1, H1)",,Burhan Kuruscu,University of Toronto,,,,,,,,,,,Stefanie Stantcheva,Female,,,,,,NA,NA,NA,NA,NA
Stefanie Stantcheva,Dancing with the Stars: Interactions and Human Capital Accumulation,Harvard University,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 13",American Economic Association,"Inequality, Mobility, and Taxation (H2, J3)",,David Seim,University of Toronto,Itzik Fadlon,Harvard University,Mathew J. Notowidigdo,Northwestern University,Kory Kroft,University of Toronto,,,,,Stefanie Stantcheva,Female,,,,,,NA,NA,NA,NA,NA
Stefanie Stantcheva,Taxation and the International Mobility of Inventors,Harvard University,Jan 03 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 14 & 15",National Tax Association,"Taxes and Mobility (H2, H3)",,David R. Agrawal,University of Kentucky,Jon M. Bakija,Williams College,Cristobal Young,Stanford University,Jesse Gregory,University of Wisconsin-Madison,Ian Schmutte,University of Georgia,,,Stefanie Stantcheva,Female,,,,,,NA,NA,NA,NA,NA
Stefano Eusepi,Fundamental Disagreement,Federal Reserve Bank of New York,Jan 05 2016,10:15 AM,"Hilton Union Square, Continental – Parlor 1",American Economic Association,"Perspectives on Unconventional Monetary Policy and Expectations in Financial Markets (E4, D8)",,Martin Schneider,Stanford University,Min Wei,Federal Reserve Board of Governors,Yuriy Kitsul,Federal Reserve Board of Governors,Sergio Santoro,Bank of Italy,Allan Timmermann,University of California-San Diego,,,Stefano Eusepi,Male,,,,,,NA,NA,NA,NA,NA
Stefano Fiorin,Social Image and Status Goods: Experimental Evidence from Platinum Credit Cards in Indonesia,University of California-Los Angeles,Jan 04 2016,2:30 PM,"Hilton Union Square, Imperial B",American Economic Association,"Social Signaling (D8, Z1)",,John List,University of Chicago,Markus Mobius,Microsoft Research and University of Michigan,Stefano DellaVigna,University of California-Berkeley,James Andreoni,University of California-San Diego,Justin M. Rao,Microsoft Research,,,Stefano Fiorin,Male,,,,,,NA,NA,NA,NA,NA
Stefano Giglio,Rational Bubbles: Time-Series Versus Cross-Sectional Tests,University of Chicago,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 20",Econometric Society,Housing and Macroeconomics,A1,Stefano Giglio,University of Chicago,Alexander Chinco,University of Illinois-Urbana-Champaign,Marco Di Maggio,Columbia University,Philipp Schnabl,New York University,Charles G. Nathanson,Northwestern University,,,STEFANO GIGLIO,Male,,,,,,NA,NA,NA,NA,NA
Stefano Giglio,The Price of Variance Risk,University of Chicago,Jan 04 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Pricing of Macroeconomic Risk,G1,Lars Kuehn,Carnegie Mellon University,Adlai Fisher,University of British Columbia,Jessica Wachter,University of Pennsylvania,Hanno Lustig,Stanford University,Lars Lochstoer,Columbia University,,,STEFANO GIGLIO,Male,,,,,,NA,NA,NA,NA,NA
Stefano Giglio,No-Bubble Condition: Model-Free Tests in Housing Markets,University of Chicago,Jan 05 2016,10:15 AM,"Hilton Union Square, Golden Gate 1 & 2",American Economic Association,"New Models and Evidence on Bubbles (G1, E1)",,Andrei Shleifer,Harvard University,Alp Simsek,Massachusetts Institute of Technology,Markus K. Brunnermeier,Princeton University,Robin Greenwood,Harvard University,David Laibson,Harvard University,,,STEFANO GIGLIO,Male,,,,,,NA,NA,NA,NA,NA
Stephan Siegel,Corporate Risk Culture,University of Washington,Jan 04 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 1 & 2",American Finance Association,Behavioral CEOs,G3,Geoffrey Tate,University of North Carolina,Ran Duchin,University of Washington,Mara Faccio,Purdue University,Vikram Nanda,Rutgers University,Tim Loughran,University of Notre Dame,,,Stephan Siegel,Male,,,,,,NA,NA,NA,NA,NA
Stephan Siegel,The Cultural Origin of Preferences: CEO Cultural Heritage and Corporate Investment,University of Washington,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 21",American Economic Association,"The Impact of Culture on Corporate Decisions (G3, Z1)",,Xiaoding Liu,University of Oregon,Jonathan Karpoff,University of Washington,Edward D. Van Wesep,University of Colorado-Boulder,Karl Lins,University of Utah,,,,,Stephan Siegel,Male,,,,,,NA,NA,NA,NA,NA
Stephan Siegel,The Fetal Origins Hypothesis in Finance: Prenatal Environment and Investor Behavior,University of Washington,Jan 04 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 1 & 2",American Finance Association,Behavioral Finance,G1,Christopher Parsons,University of California-San Diego,Yuval Rottenstreich,University of California-San Diego,John Beshears,Harvard University,Malcolm Baker,Harvard Business School,Richard Townsend,Dartmouth College,,,Stephan Siegel,Male,,,,,,NA,NA,NA,NA,NA
Stephen Dimmock,Is Fraud Contagious? Career Networks and Fraud by Financial Advisors,Nanyang Technological University,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 12 & 13",American Finance Association,Financial Advisors and Financial Advice,G0,John Beshears,Harvard University,Benjamin Keys,University of Chicago,Tracy Yue Wang,University of Minnesota,John Chalmers,University of Oregon,Gopi Shah Goda,Stanford University,,,Stephen Dimmock,Male,,,,,,NA,NA,NA,NA,NA
Stephen J. Redding,"Commuting, Migration and Local Employment Elasticities",Princeton University,Jan 05 2016,8:00 AM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Trade and Growth (F1, O1)",,John Van Reenen,London School of Economics,,,,,,,,,,,Stephen J. Redding,Male,STEPHEN REDDING,,,,,NA,NA,NA,NA,NA
Stephen J. Redding,A Quantitative Framework for Evaluating the Impact of Urban Transport Improvements,Princeton University,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 14",Econometric Society,Internal Trade and Economic Integration,A1,Stephen J. Redding,Princeton University,,,,,,,,,,,Stephen J. Redding,Male,STEPHEN REDDING,,,,,NA,NA,NA,NA,NA
Stephen J. Redding,Trade and Inequality: From Theory to Estimation,Princeton University,Jan 04 2016,10:15 AM,"Marriott Marquis, Sierra B",International Economics & Finance Society,"International Trade, Economic Geography, and Firm Heterogeneity (F1, F2)",,Jeffrey H. Bergstrand,University of Notre Dame,,,,,,,,,,,Stephen J. Redding,Male,STEPHEN REDDING,,,,,NA,NA,NA,NA,NA
Stephen Morris,Information Design and Multi-Player Bayesian Persuasion,Princeton University,Jan 03 2016,10:15 AM,"Hilton Union Square, Imperial B",American Economic Association,"Information Design and Bayesian Persuasion (D7, D8)",,Drew Fudenberg,Harvard University,Drew Fudenberg,Harvard University,Laura Veldkamp,New York University,Marina Halac,Columbia University,Michael Woodford,Columbia University,,,STEPHEN MORRIS,Male,,,,,,NA,NA,NA,NA,NA
Steven J. Davis,Declining Dynamism: The Role of Credit Conditions,University of Chicago,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 20",Econometric Society,The New Firm Dynamics of Business Cycle Fluctuations,A1,Steven J. Davis,University of Chicago,,,,,,,,,,,STEVEN J. DAVIS,Male,STEVEN DAVIS,,,,,NA,NA,NA,NA,NA
Steven Tadelis,Price Formation in Bilateral Trade: Evidence From Online Bargaining,University of California Berkeley,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 15",Econometric Society,Topics in eCommerce,A1,Steven Tadelis,University of California-Berkeley,R. Preston McAfee,Microsoft,Luis Cabral,New York University,Enrico Moretti,University of California-Berkeley,Chris Nosko,University of Chicago,,,STEVEN TADELIS,Male,,,,,,NA,NA,NA,NA,NA
Steven Tadelis,The Limits of Reputation in Platform Markets,"University of California-Berkeley, NBER and eBay Research Labs",Jan 03 2016,2:30 PM,"Marriott Marquis, Sierra B",Economic Science Association,"Internet Feedback Systems (C9, D4)",,Ben Greiner,University of New South Wales,Gary E. Bolton,University of Texas-Dallas,Andrey Fradkin,NBER,Ginger Zhe Jin,University of Maryland,John Wooders,University of Technology-Sydney,,,STEVEN TADELIS,Male,,,,,,NA,NA,NA,NA,NA
Stijn Claessens,The Use and Effectiveness of Macroprudential Policies: New Evidence,Federal Reserve Board,Jan 05 2016,8:00 AM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"Macroprudential Policy (E5, G2)",,Hyun Song Shin,Bank for International Settlements,Steven Ongena,University of Zurich,James Vickery,Federal Reserve Bank of New York,Ricardo Correa,Federal Reserve Board,Markus K. Brunnermeier,Princeton University,,,STIJN CLAESSENS,Male,,,,,,NA,NA,NA,NA,NA
Stijn Van Nieuwerburgh,Firm Volatility in Granular Networks,New York University,Jan 05 2016,1:00 PM,"Hilton Union Square, Imperial B",American Economic Association,"Economic Uncertainty and Finance (E2, E3)",,Nicholas Bloom,Stanford University,,,,,,,,,,,STIJN VAN NIEUWERBURGH,Male,,,,,,NA,NA,NA,NA,NA
Stijn Van Nieuwerburgh,Phasing Out the GSEs,New York University,Jan 04 2016,8:00 AM,"Hilton Union Square, Golden Gate 5",American Economic Association,Topics in Banking and Shadow Banks,G2,Gary Richardson,University of California-Irvine,,,,,,,,,,,STIJN VAN NIEUWERBURGH,Male,,,,,,NA,NA,NA,NA,NA
Stijn Van Nieuwerburgh,The Sovereign-Bank Diabolical Loop and Flight to Safety Capital Flows: European Safe Bonds (ESBies),New York University,Jan 03 2016,8:00 AM,"Hilton Union Square, Yosemite B",American Economic Association,Global Reserve Assets in a Low Interest Rate World,A1,Pierre-Olivier Gourinchas,University of California-Berkeley,Manuel Amador,Federal Reserve Bank of Minneapolis,Matteo Maggiori,Harvard University,Jeremy Stein,Harvard University,Mark Gertler,New York University,,,STIJN VAN NIEUWERBURGH,Male,,,,,,NA,NA,NA,NA,NA
Stuart Gabriel,Housing Affordability and Inequality: A Consumption-Based Approach,University of California-Los Angeles,Jan 04 2016,10:15 AM,"Parc 55, Mission I",American Real Estate & Urban Economic Association,"Housing Affordability (R2, D1)",,Richard K. Green,University of Southern California,Vincent Yao,Fannie Mae,Jung Hyun Cho,University of Southern California,Luis Quintero,World Bank,Andra Ghent,Arizona State University,,,STUART GABRIEL,Male,,,,,,NA,NA,NA,NA,NA
Stuart Gabriel,Default Option Exercise over the Financial Crisis and Beyond,University of California-Los Angeles,Jan 05 2016,1:00 PM,"Parc 55, Powell II",American Real Estate & Urban Economic Association/American Finance Association,"Special Topics: Real Estate (G1, R2)",,Sheridan Titman,University of Texas-Austin,Timothy Riddiough,University of Wisconsin-Madison,Christopher Parsons,University of California-San Diego,Amit Seru,University of Chicago,Chester Spatt,Carnegie Mellon University,,,STUART GABRIEL,Male,,,,,,NA,NA,NA,NA,NA
Subhrendu Pattanayak,Do Decentralized Community Treatment Plants Provide Clean Water? Evidence from Andhra Pradesh,Duke University,Jan 03 2016,10:15 AM,"Hilton Union Square, Sutter A & B",Association of Environmental & Resource Economists,Microeconomics of Technology Adoption,Q5,Katrina Jessoe,University of California-Berkeley,Katrina Jessoe,University of California-Davis,Meredith Fowlie,University of California-Berkeley,Yaniv Stopnitzky,University of San Francisco,Judson Boomhower,University of California-Berkeley,,,Subhrendu Pattanayak,Male,,,,,,NA,NA,NA,NA,NA
Sudheer Chava,Credit Default Swaps and Moral Hazard in Bank Lending,Georgia Institute of Technology,Jan 05 2016,1:00 PM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Empirical Studies of Banking,G2,Philip Strahan,Boston College,Greg Nini,Drexel University,Heitor Almeida,University of Illinois-Urbana-Champai,Matthieu Chavaz,Bank of England,,,,,Sudheer Chava,Male,,,,,,NA,NA,NA,NA,NA
Sule Alan,Mitigating the Gender Gap in the Willingness to Compete: Evidence from a Randomized Field Experiment,University of Essex,Jan 04 2016,10:15 AM,"Marriott Marquis, Walnut",Association for the Study of Generosity in Economics/International Association for Feminist Economics,"Gender and Altruistic Decisions (D6, J1)",,Catherine Eckel,Texas A&M University,Jonathan Meer,Texas A&M University,,,,,,,,,SULE ALAN,Female,,,,,,NA,NA,NA,NA,NA
Sumit Agarwal,The Politics of Foreclosure,National University of Singapore,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 14",American Economic Association,Financial Economics,G1,Caleb Stroup,Davidson College,,,,,,,,,,,SUMIT AGARWAL,Male,,,,,,NA,NA,NA,NA,NA
Sumit Agarwal,Nudges of School Children and Electricity Conservation: Evidence from the “Project Carbon Zero” Campaign in Singapore,National University of Singapore,Jan 04 2016,10:15 AM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Behavioral Interventions and Environmental Sustainability (D1, Q4)",,Matthew E. Kahn,University of California-Los Angeles,Michael K. Price,Georgia State University,Katherine L. Milkman,University of Pennsylvania,Kenneth Gillingham,Yale University,Katrina Jessoe,University of California-Davis,,,SUMIT AGARWAL,Male,,,,,,NA,NA,NA,NA,NA
Sumit Agarwal,Why Do Real Estate Agents Buy Houses at Lower Prices? Cherry Picking or Bargaining Power,National University of Singapore,Jan 04 2016,2:30 PM,"Parc 55, Mission II & III",American Real Estate & Urban Economic Association,"Real Estate Pricing (R3, R2)",,Paul Carrillo,George Washington University,Dean Gatzlaff,Florida State University,Jaren C. Pope,Brigham Young University,Benjamin Williams,George Washington University,Daniel A. Broxterman,Florida State University,,,SUMIT AGARWAL,Male,,,,,,NA,NA,NA,NA,NA
Sumit Agarwal,Golf Buddies and Board Diversity,National University of Singapore,Jan 03 2016,8:00 AM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"Gender in Corporation Management (G3, J4)",,Marianne Bertrand,University of Chicago,Francisco Perez-Gonzalez,Instituto Tecnológico Autónomo de México,David Yermack,New York University,Carola Frydman,Northwestern University,Glenn Ellison,Massachusetts Institute of Technology,,,SUMIT AGARWAL,Male,,,,,,NA,NA,NA,NA,NA
Sumit Agarwal,Learning by Driving: Evidence from taxi driver wages in Singapore,National University of Singapore,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 18",American Economic Association,Labor Productivity,J3,Jamin D. Speer,University of Memphis,,,,,,,,,,,SUMIT AGARWAL,Male,,,,,,NA,NA,NA,NA,NA
Supreet Kaur,Do Enforcement Constraints Prevent Trade? Evidence on Contracting Failures in Irrigation Markets,Columbia University,Jan 03 2016,8:00 AM,"Hilton Union Square, Continental – Parlor 3",American Economic Association,"Contractual Issues in Developing Countries (O1, D8)",,Supreet Kaur,Columbia University,Rocco Macchiavello,Warwick University,Jessica Goldberg,University of Maryland,Xiao Yu Wang,Duke University,Jeremy Magruder,University of California-Berkeley,,,Supreet Kaur,Female,,,,,,NA,NA,NA,NA,NA
Supreet Kaur,Nominal Wage Rigidity in Village Labor Markets,Columbia University,Jan 05 2016,10:15 AM,"Hilton Union Square, Yosemite A",American Economic Association,"Wage Rigidity (J3, E2)",,Mark Schweitzer,Federal Reserve Bank of Cleveland,William Dickens,Northeastern University,Gary Solon,University of Arizona,Joseph Altonji,Yale University,Gabriel Ehrlich,University of Michigan,,,Supreet Kaur,Female,,,,,,NA,NA,NA,NA,NA
Supreet Kaur,The Morale Effects of Pay Inequality,Columbia University,Jan 05 2016,1:00 PM,"Hilton Union Square, Golden Gate 1 & 2",American Economic Association,"Reference Dependence and the Labor Market (J6, J3)",,Stefano DellaVigna,University of California-Berkeley,Kory Kroft,University of Toronto,Peter Kuhn,University of California-Santa Barbara,Emily Breza,Columbia University,Henry Farber,Princeton University,,,Supreet Kaur,Female,,,,,,NA,NA,NA,NA,NA
Suresh Naidu,Preferences for Taxing Income Versus Wealth,Columbia University,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental – Parlor 9",American Economic Association,"New Thinking in Optimal Taxation and Redistribution (H2, D6)",,Florian Scheuer,Stanford University,Suresh Naidu,Columbia University,Stefanie Stantcheva,Harvard University,Charlotte Cavaille,Institute of Advanced Studies Toulouse,Raymond Fisman,Boston University,,,SURESH NAIDU,Male,,,,,,NA,NA,NA,NA,NA
Suresh Sundaresan,Bank Liability Structure,Columbia University,Jan 03 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 3 & 4",American Finance Association,Liability Structure and Funding Risk of Banks,G2,Charles Calomiris,Columbia University,Heitor Almeida,University of Illinois-Urbana-Champaign,Charles Calomiris,Columbia University,Deborah Lucas,Massachusetts Institute of Technology,,,,,SURESH SUNDARESAN,Male,,,,,,NA,NA,NA,NA,NA
Susan Athey,Recursive Partitioning for Estimating Heterogeneous Causal Effects,Stanford University,Jan 05 2016,1:00 PM,"Hilton Union Square, Imperial A",American Economic Association,"Big Data: Challenges and Insights for Causal Inference (C8, C1)",,Denis Nekipelov,University of Virginia,Randall Lewis,"Google, Inc",Hal Varian,University of California-Berkeley,Justin M. Rao,Microsoft Research,Mike Bailey,Facebook,,,SUSAN ATHEY,Female,,,,,,NA,NA,NA,NA,NA
Susan Athey,The Economics of the Bitcoin Network: Theory and Evidence,Stanford University,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 15",Econometric Society,Topics in eCommerce,A1,Steven Tadelis,University of California-Berkeley,R. Preston McAfee,Microsoft,Luis Cabral,New York University,Enrico Moretti,University of California-Berkeley,Chris Nosko,University of Chicago,,,SUSAN ATHEY,Female,,,,,,NA,NA,NA,NA,NA
Susann Rohwedder,The Effect of Wealth Shocks on Expected Bequests: Evidence from the Great Recession,RAND,Jan 05 2016,10:15 AM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,Intergenerational Transfers,D1,Laurence J. Kotlikoff,Boston University,Meta Brown,Federal Reserve Bank of New York,Barbara Schone,Georgetown University,Mark O. Wilhelm,Indiana University-Purdue University Indianapolis,Robert Willis,University of Michigan,,,SUSANN ROHWEDDER,Female,,,,,,NA,NA,NA,NA,NA
Takao Kato,Good Jobs and Bad Jobs in Japan: 1982-2007,Colgate University,Jan 03 2016,12:30 PM,"Parc 55, Davidson",Labor & Employment Relations Association,Inequality in Japan,J3,Arthur Sakamoto,Texas A&M University,David Autor,Massachusetts Institute of Technology,Arthur Sakamoto,Texas A&M University,,,,,,,Takao Kato,Male,,,,,,NA,NA,NA,NA,NA
Tal Gross,The Effect of the Affordable Care Act (ACA) Medicaid Expansion on the Utilization of Hospital Services,Columbia University,Jan 04 2016,2:30 PM,"Hilton Union Square, Powell A & B",Health Economics Research Organization,"The Impact of the Affordable Care Act on Hospital Use, Cost, and Market Structure (I1, L1)",,Kosali Simon,Indiana University,Richard Lindrooth,University of Colorado-Denver,Vivian Ho,Rice University,Sayeh Nikpay,University of Michigan and Vanderbilt University,,,,,TAL GROSS,Male,,,,,,NA,NA,NA,NA,NA
Tanju Yorulmazer,Sooner or Later: Timing of Monetary Policy with Heterogeneous Risk Taking,Unversity of Amsterdam,Jan 04 2016,10:15 AM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"Money and Monetary Policy with Financial Frictions (E4, E5)",,Markus K. Brunnermeier,Princeton University,Itamar Drechsler,New York University,Valentin Haddad,Princeton University,Andy Atkenson,University of California-Los Angeles,,,,,TANJU YORULMAZER,Male,,,,,,NA,NA,NA,NA,NA
Tao Li,Influencing Control: Jawboning in Risk Arbitrage,Warwick Business School,Jan 05 2016,1:00 PM,"Marriott Marquis, Nob Hill A & B",American Finance Association,Shareholder Activism and the Market for Corporate Control,G3,Doron Levit,University of Pennsylvania,Laura Starks,University of Texas-Austin,Nickolay Gantchev,University of North Carolina,Robert Marquez,University of California-Davis,Andrey Malenko,Massachusetts Institute of Technology,,,Tao Li,Male,,,,,,NA,NA,NA,NA,NA
Tarun Ramadorai,Endowment Effects in the Field: Evidence from India's IPO Lotteries,University of Oxford,Jan 05 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Behavioral Finance: Investor Behavior and Asset Prices,G1,Cary Frydman,University of Southern California,Ulrike Malmendier,University of California-Berkeley,Nikolai Roussanov,University of Pennsylvania,Robin Greenwood,Harvard Business School,,,,,Tarun Ramadorai,Male,,,,,,NA,NA,NA,NA,NA
Tarun Ramadorai,Heterogeneous Taxes and Limited Risk Sharing: Evidence from Municipal Bonds,University of Oxford,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,Governments and Stock Prices,G1,Jules van Binsbergen,University of Pennsylvania,David Lucca,Federal Reserve Bank of New York,Chester Spatt,Carnegie Mellon University,Lorenz Kueng,Northwestern University,,,,,Tarun Ramadorai,Male,,,,,,NA,NA,NA,NA,NA
Taryn Dinkelman,The Long Run Effects of Labor Migration on Human Capital Formation in Communities of Origin,Dartmouth College,Jan 04 2016,2:30 PM,"Hilton Union Square, Golden Gate 8",American Economic Association,Occupations of the Past and Future,J1,Peter McHenry,College of William and Mary,,,,,,,,,,,Taryn Dinkelman,Female,,,,,,NA,NA,NA,NA,NA
Taryn Dinkelman,Labor Migration and Structural Change in Rural Labor Markets: Evidence from Malawi,Dartmouth College,Jan 03 2016,8:00 AM,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank,,,Taryn Dinkelman,Female,,,,,,NA,NA,NA,NA,NA
Tatevik Sekhposyan,Alternative Tests for Correct Specification of Conditional Forecast Densities,Texas A&M University,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 5 & 6",Econometric Society,Forecasting and Prediction,A1,Barbara Rossi,University Pompeu Fabra and Barcelona GSE,,,,,,,,,,,Tatevik Sekhposyan,Female,,,,,,NA,NA,NA,NA,NA
Tatiana Homonoff,Raising the Stakes: Experimental Evidence on the Endogeneity of Taxpayer Mistakes,Cornell University,Jan 03 2016,10:15 AM,"Hilton Union Square, Continental – Parlor 1",American Economic Association,"Tax Experiments (H2, C9)",,Erzo F.P. Luttmer,Dartmouth College,Stefanie Stantcheva,Harvard University,David Seim,University of Toronto,Judd Kessler,University of Pennsylvania,Ugo Troiano,University of Michigan,,,Tatiana Homonoff,Female,,,,,,NA,NA,NA,NA,NA
Tatsuro Senga,Default Risk and Aggregate Fluctuations in an Economy with Production Heterogeneity,Ohio State University,Jan 05 2016,1:00 PM,"Hilton Union Square, Imperial B",American Economic Association,"Economic Uncertainty and Finance (E2, E3)",,Nicholas Bloom,Stanford University,,,,,,,,,,,Tatsuro Senga,Male,,,,,,NA,NA,NA,NA,NA
Tatyana Deryugina,Do Causes Crowd Each Other Out? Evidence From Tornado Strikes,University of Illinois,Jan 03 2016,2:30 PM,"Marriott Marquis, Walnut",Association for the Study of Generosity in Economics,"Charitable Giving and Natural Disasters (D6, H4)",,Abigail Payne,McMaster University,Sarah Jacobson,Williams College,Andreas Madestam,Stockholm University,Andreas Lange,University of Hamburg,,,,,Tatyana Deryugina,Female,,,,,,NA,NA,NA,NA,NA
Tatyana Deryugina,Does the Environment Still Matter? Daily Temperature and Income in the United States,University of Illinois-Urbana-Champaign,Jan 03 2016,10:15 AM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"Weather and United States Economic Activity (E2, Q5)",,Francois Gourio,Federal Reserve Bank of Chicago,Olivier Deschenes,University of California-Santa Barbara,William Wascher,Federal Reserve Board of Governors,Marshall Burke,Stanford University,Daniel Wilson,Federal Reserve Bank of San Francisco,,,Tatyana Deryugina,Female,,,,,,NA,NA,NA,NA,NA
Tavneet Suri,Diversity and Team Performance in a Kenyan Organization,Massachusetts Institute of Technology,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 19",Econometric Society,Labor Markets in Developing Economies,A1,Supreet Kaur,Columbia University,,,,,,,,,,,Tavneet Suri,Female,,,,,,NA,NA,NA,NA,NA
Tavneet Suri,"Joint Liability, Asset Collateralization, and Credit Access: Evidence from Rainwater Harvesting Tanks in Kenya",Massachusetts Institute of Technology,Jan 03 2016,8:00 AM,"Hilton Union Square, Continental – Parlor 3",American Economic Association,"Contractual Issues in Developing Countries (O1, D8)",,Supreet Kaur,Columbia University,Rocco Macchiavello,Warwick University,Jessica Goldberg,University of Maryland,Xiao Yu Wang,Duke University,Jeremy Magruder,University of California-Berkeley,,,Tavneet Suri,Female,,,,,,NA,NA,NA,NA,NA
Taylor Begley,The Strategic Under-Reporting of Bank Risk,London Business School,Jan 04 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 12 & 13",American Finance Association,Regulatory Behavior and Design,G2,Amit Seru,University of Chicago,David Lucca,Federal Reserve Bank of New York,Philipp Schnabl,New York University,Sumit Agarwal,National University of Singapore,Uday Rajan,University of Michigan,,,Taylor Begley,Male,,,,,,NA,NA,NA,NA,NA
