author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Chad Syverson,The Slow Growth of New Plants: Learning About Demand?,University of Chicago,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 20",Econometric Society,The New Firm Dynamics of Business Cycle Fluctuations,A1,Steven J. Davis,University of Chicago,,,,,,,,,,,CHAD SYVERSON,Male,,,,,,NA,NA,NA,NA,NA
Chad Syverson,Healthcare Exceptionalism? Productivity and Allocation in the U.S. Healthcare Sector,University of Chicago,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Productivity, Regulation and Allocation: Macro, Industry- and Firm-Level Evidence (D2, O4)",,Catherine L. Mann,OECD,Jan K. De Loecker,Princeton University,Jonathan Haskel,Imperial College London,Catherine L Mann,OECD,Daniel Sichel,Wellesley College,,,CHAD SYVERSON,Male,,,,,,NA,NA,NA,NA,NA
Chang-Tai Hsieh,Contract Labor and Firm Dynamics in India,University of Chicago,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 1 & 2",Korea-America Economic Association,"Economic Growth and Development (O1, O4)",,Yongseok Shin,Washington University-St. Louis and Federal Reserve Bank of St. Louis,,,,,,,,,,,CHANG-TAI HSIEH,Male,Â  CHANG-TAI HSIEH,,,,,NA,NA,NA,NA,NA
Chang-Tai Hsieh,How Destructive is Innovation?,University of Chicago,Jan 03 2016,10:15 AM,"Parc 55, Divisadero",Chinese Economic Association in North America/American Economic Association,"Innovation, Growth and Development (O3, O1)",,Ping Wang,Washington University-St. Louis,Been-Lon Chen,Academia Sinica,Zheng Song,Chinese University of Hong Kong,Minchung Hsu,"National Graduate Institute for Policy Studies, Japan",Douglas Almond,Columbia University,,,CHANG-TAI HSIEH,Male,Â  CHANG-TAI HSIEH,,,,,NA,NA,NA,NA,NA
Changcheng Song,Why Do Real Estate Agents Buy Houses at Lower Prices? Cherry Picking or Bargaining Power,National University of Singapore,Jan 04 2016,2:30 PM,"Parc 55, Mission II & III",American Real Estate & Urban Economic Association,"Real Estate Pricing (R3, R2)",,Paul Carrillo,George Washington University,Dean Gatzlaff,Florida State University,Jaren C. Pope,Brigham Young University,Benjamin Williams,George Washington University,Daniel A. Broxterman,Florida State University,,,Changcheng Song,Male,,,,,,NA,NA,NA,NA,NA
Chao Fu,Structural Estimation of a Model of School Choices: The Boston Mechanism Versus Its Alternatives,University of Wisconsin-Madison,Jan 05 2016,8:00 AM,"Hilton Union Square, Franciscan D",American Economic Association,"Market Design for Student Placement: Econometrics and Empirical Evidence (I2, D4)",,Bernard Salanie,Columbia University,Christopher A. Neilson,Princeton University,Jeremy Fox,University of Michigan,Alfred Galichon,Sciences Po Paris,Bernard Salanie,Columbia University,,,Chao Fu,Male,,,,,,NA,NA,NA,NA,NA
Chaopeng Wu,"Intellectual Property Rights Protection, Ownership, and Innovation: Evidence from China",Xiamen University,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 15",Econometric Society,Innovation and Technological Change,A1,Benjamin Roin,Massachusetts Institute of Technology,,,,,,,,,,,Chaopeng Wu,Male,,,,,,NA,NA,NA,NA,NA
Charles Cao,The Role of Hedge Funds in the Security Price Formation Process,Pennsylvania State University,Jan 05 2016,8:00 AM,"Marriott Marquis, Nob Hill A & B",American Finance Association,Hedge Funds,G1,Bing Liang,University of Massachusetts-Amherst,Lasse Pedersen,Copenhagen Business School and New York University,David McLean,DePaul University,Byoung-Hyoun Hwang,Cornell University,Gurdip Bakshi,University of Maryland,,,CHARLES CAO,Male,,,,,,NA,NA,NA,NA,NA
Charles Engel,Real Exchange Rates and Sectoral Productivity in the Eurozone,University of Wisconsin,Jan 05 2016,10:15 AM,"Hilton Union Square, Yosemite B",American Economic Association,"Real Exchange Rates in the Long Run: Revisiting the Penn Effect and the Balassa-Samuelson Hypothesis (F4, F3)",,Fadi Hassan,Trinity College Dublin,Robert C. Feenstra,University of California-Davis,Andrew K Rose,Berkeley University,Paul R. Bergin,University of California-Davis,Giancarlo Corsetti,University of Cambridge,,,CHARLES ENGEL,Male,,,,,,NA,NA,NA,NA,NA
Charles Engel,"Policy Cooperation, Incomplete Markets, and Risk Sharing",University of Wisconsin-Madison,Jan 03 2016,10:15 AM,"Marriott Marquis, Pacific C",International Economics & Finance Society,"International Macroeconomics and Finance (F3, F4)",,Nelson C. Mark,University of Notre Dame,,,,,,,,,,,CHARLES ENGEL,Male,,,,,,NA,NA,NA,NA,NA
