"","author","year"
"528","José Luis Montiel Olea","2019"
"529","Danqi Hu","2019"
"530","Youchang Wu","2019"
"531","Tendai Zawaira","2019"
"532","Julia Belau","2019"
"533","Lucjan T. Orlowski","2019"
"534","Yuxin Su","2019"
"535","Ruiqing Miao","2019"
"536","Tengyuan Liang","2019"
"537","Espen Moen","2019"
"538","Adji Fatou Diagne","2019"
"539","Robel Alemu","2019"
"540","Pengfei Liu","2019"
"541","Kebin Ma","2019"
"542","René Bekkers","2019"
"543","Liping Lu","2019"
"544","Kassu Hossiso","2019"
"545","Ottmar Edenhofer","2019"
"546","Sanni Breining","2019"
"547","Fangzhou Lu","2019"
"548","Shihe Fu","2019"
"549","Huanan Xu","2019"
"550","Zhengyu Cai","2019"
"551","Jörg Kalbfuss","2019"
"552","Xinyan Yan","2019"
"553","Guofu Zhou","2019"
"554","Orkun Saka","2019"
"555","Patricia Triunfo","2019"
"556","Hongmei Yi","2019"
"557","Maxim Massenkoff","2019"
"558","Mounu Prem","2019"
"559","Andres Silva","2019"
"560","Zhaoran Gong","2019"
"561","Xueying Lu","2019"
"562","Ivan Canay","2019"
