author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,
Pierre Dubois,"Demand for Nutrition: A Cross Country Comparison of US, UK and France",Toulouse School of Economics,Jan 06 2012,8:00 AM,"Hyatt Regency, Columbus EF",American Economic Association,"Consumer Choice, Public Policy and Nutrition",L2,Aviv Nevo,Northwestern Univeristy,Timothy Richards,Arizona State University,Sofia B. Villas-Boas,University of California-Berkeley,Arthur Lewbel,Boston College,,,,,Pierre Dubois,Male,,,,,,NA,NA,NA,NA,NA,
Pierre-Olivier Weill,Liquidity Constraints and the Threat of Fraudulent Assets,University of California-Los Angeles,Jan 07 2012,2:30 PM,"Hyatt Regency, Field",Econometric Society,Liquidity and Financial Crises,G0,Veronica Guerrieri,University of Chicago,,,,,,,,,,,PIERRE-OLIVIER WEILL,Male,,,,,,NA,NA,NA,NA,NA,
Pierre-Olivier Weill,Fragility and Restructuring in Trading Networks,University of California-Los Angeles,Jan 06 2012,2:30 PM,"Hyatt Regency, Regency A",American Economic Association,Funding and Market Liquidity,G1,Markus Brunnermeier,Princeton University and NBER,Arvind Krishnamurthy,Northwestern University and NBER,Tarun Chordia,Emory University,Ioanid Rosu,HEC Paris,Ashish Tiwari,University of Iowa,,,PIERRE-OLIVIER WEILL,Male,,,,,,NA,NA,NA,NA,NA,
Piet Eichholtz,The Value of Green Buildings New Evidence from the United Kingdom,Maastricht University,Jan 08 2012,8:00 AM,"Swissotel, St. Gallen 1",American Real Estate & Urban Economic Association,Green Buildings and Residential Leases,L7,David Ling,University of Florida,Andy Naranjo,University of Florida,Stuart Rosenthal,Syracuse University,Piet Eichholtz,Maastricht University,Nai Jia Lee,National University of Singapore,,,PIET EICHHOLTZ,Male,,,,,,NA,NA,NA,NA,NA,
Pinar Keskin,The Evolving Impact of the Ogallala Aquifer: Agricultural Adaptation to Groundwater and Climate,Wellesley College,Jan 08 2012,8:00 AM,"Hyatt Regency, Gold Coast",American Economic Association,Water Rights: Historical Perspectives and Emerging Issues,N5,Zeynep Hansen,Boise State University and NBER,Joseph Cullen,Washington University,Pinar Keskin,Wellesley College,Jason Hansen,Naval Postgraduate School,Carl Kitchens,University of Arizona,,,Pinar Keskin,Female,,,,,,NA,NA,NA,NA,NA,
Pohan Fong,Dynamic Legislative Bargaining with Endogenous Proposers,City University of Hong Kong,Jan 06 2012,8:00 AM,"Hyatt Regency, Soldier Field",American Economic Association,Policy Dynamics and Legislative Institutions,D7,Hülya Eraslan,Johns Hopkins University,,,,,,,,,,,POHAN FONG,Male,,,,,,NA,NA,NA,NA,NA,
Ponpoje Porapakkarm,Quantitative Analysis of Health Insurance Reform: Separating Community Rating from Income Redistribution,University of Macau,Jan 06 2012,8:00 AM,"Hyatt Regency, Columbian",American Economic Association,Health Insurance,I1,Danny Hughes,University of Oklahoma Health Sciences Center,,,,,,,,,,,Ponpoje Porapakkarm,Male,,,,,,NA,NA,NA,NA,NA,
Prachi Mishra,Third-Market Effects of Exchange Rates: A Study of the Renminbi,International Monetary Fund,Jan 06 2012,10:15 AM,"Hyatt Regency, Columbus G",American Economic Association,Exchange Rates,F3,Mario Crucini,Vanderbilt University,,,,,,,,,,,Prachi Mishra,Female,,,,,,NA,NA,NA,NA,NA,
Pravin Krishna,"Globalization, Human Capital and Labor Income",Johns Hopkins University and NBER,Jan 06 2012,12:30 PM,"Hyatt Regency, Stetson Suite FG",International Trade & Finance Association,International Trade and Finance,F1,Georg Schaur,University of Tennessee,,,,,,,,,,,PRAVIN KRISHNA,Male,,,,,,NA,NA,NA,NA,NA,
Pravin Krishna,"Trade Liberalization, Firm Heterogeneity, and Wages: New Evidence from Matched Employer-Employee Data",Johns Hopkins University,Jan 07 2012,8:00 AM,"Hyatt Regency, Crystal A",American Economic Association,Trade and Labor Markets: Evidence from Matched Employer-Employee Data,F1,Robert Feenstra,University of California-Davis,Oleg Itskhoki,Princeton University,Mine Z. Senses,Johns Hopkins University,Kerem Cosar,University of Chicago,Marc Muendler,University of California-San Diego,,,PRAVIN KRISHNA,Male,,,,,,NA,NA,NA,NA,NA,
Pricila Maziero,Search-Based Theory of Optimal Income Taxation,University of Pennsylvania,Jan 06 2012,2:30 PM,"Hyatt Regency, Addams",Econometric Society,Advances in Optimal Taxation,H2,Mikhail Golosov,Yale University,Matthew C Weinzierl,Harvard Business School,Florian Scheuer,Stanford University,Borys Grochulski,Federal Reserve Bank of Richmond,,,,,Pricila Maziero,Female,,,,,,NA,NA,NA,NA,NA,
Qiang Li,Ethnic Diversity and the Spatial Pattern of Neighborhood House Prices,Shanghai University of Finance and Economics,Jan 07 2012,10:15 AM,"Swissotel, Vevey 3",American Real Estate & Urban Economic Association,Capitalization of Local Amenities,R3,Leah Brooks,University of Toronto,Benoy Jacob,University of Colorado-Denver,Kathy O'Regan,New York University,Douglas Noonan,Georgia Institute of Technology,Elliot Anenberg,Federal Reserve Board,,,Qiang Li,Male,,,,,,NA,NA,NA,NA,NA,
Qingmin Liu,Limited Records and Reputation,Columbia University,Jan 08 2012,8:00 AM,"Hyatt Regency, Wright",Econometric Society,Modeling Incomplete Information Games,C7,Xavier Vives,IESE Business School,,,,,,,,,,,Qingmin Liu,Male,,,,,,NA,NA,NA,NA,NA,
R. Jason Faberman,Recruiting Intensity during and after the Great Recession: National and Industry Evidence,Federal Reserve Bank of Chicago,Jan 07 2012,2:30 PM,"Hyatt Regency, Grand Ballroom A",American Economic Association,Measuring and Explaining the Collapse of the Labor Market in the Great Recession,J4,John Haltiwanger,University of Maryland,Aysegul Sahin,Federal Reserve Bank of New York,Christopher J. Nekarda,Federal Reserve Board,Michael Elsby,University of Edinburgh,Bruce Fallick,Federal Reserve Board,,,R. JASON FABERMAN,Male,JASON FABERMAN,,,,,NA,NA,NA,NA,NA,
Rachel Griffith,"Demand for Nutrition: A Cross Country Comparison of US, UK and France",IFS and University of Manchester,Jan 06 2012,8:00 AM,"Hyatt Regency, Columbus EF",American Economic Association,"Consumer Choice, Public Policy and Nutrition",L2,Aviv Nevo,Northwestern Univeristy,Timothy Richards,Arizona State University,Sofia B. Villas-Boas,University of California-Berkeley,Arthur Lewbel,Boston College,,,,,RACHEL GRIFFITH,Female,,,,,,NA,NA,NA,NA,NA,
Rachel Griffith,The Impact of Government Advertising on the Market for Fruit and Vegetables,IFS and University of Manchester,Jan 06 2012,8:00 AM,"Hyatt Regency, Columbus EF",American Economic Association,"Consumer Choice, Public Policy and Nutrition",L2,Aviv Nevo,Northwestern Univeristy,Timothy Richards,Arizona State University,Sofia B. Villas-Boas,University of California-Berkeley,Arthur Lewbel,Boston College,,,,,RACHEL GRIFFITH,Female,,,,,,NA,NA,NA,NA,NA,
Raf Wouters,Professional Forecasters and the Identification of Shocks in a DSGE Model,National Bank of Belgium,Jan 08 2012,1:00 PM,"Hyatt Regency, Columbus IJ",American Economic Association,DSGE Model Forecasts,E3,Mark Watson,Princeton University,Marco Del Negro,Federal Reserve Bank of New York,Mark Watson,Princeton University,Keith Sill,Federal Reserve Bank of Philadelphia,Jonathan H. Wright,Johns Hopkins University,,,Raf Wouters,Male,,,,,,NA,NA,NA,NA,NA,
Raffaella Giacomini,Model Comparisons in Unstable Environments,University College London,Jan 08 2012,1:00 PM,"Hyatt Regency, Columbus IJ",American Economic Association,DSGE Model Forecasts,E3,Mark Watson,Princeton University,Marco Del Negro,Federal Reserve Bank of New York,Mark Watson,Princeton University,Keith Sill,Federal Reserve Bank of Philadelphia,Jonathan H. Wright,Johns Hopkins University,,,RAFFAELLA GIACOMINI,Female,,,,,,NA,NA,NA,NA,NA,
Raffaella Sadun,Management practices across firms and countries,Harvard Business school,Jan 08 2012,1:00 PM,"Hyatt Regency, Regency C",American Economic Association,The Economics of Managers and Management,J4,John Van Reenen,London School of Economics,John Abowd,Cornell University,Marianne Bertrand,University of Chicago,Luis Garicano,London School of economics,John Roberts,Stanford University,,,RAFFAELLA SADUN,Female,,,,,,NA,NA,NA,NA,NA,
Raffaella Sadun,Management Practices in Education: Descriptive Evidence,Harvard University,Jan 07 2012,2:30 PM,"Hyatt Regency, Regency A",American Economic Association,Education Management and Economic Growth,L3,Stephen Machin,University College London,,,,,,,,,,,RAFFAELLA SADUN,Female,,,,,,NA,NA,NA,NA,NA,
Raghavendra Rau,Paying for Risk or Shareholder Rip-Off? An Analysis of Ex-Ante Severance Pay Contracts,University of Cambridge,Jan 07 2012,2:30 PM,"Swissotel, Zurich E",American Finance Association,Executive Compensation 2,G3,Laura Starks,University of Texas-Austin,Charles Hadlock,Michigan State University,Katharina Lewellen,Dartmouth College,Jay Hartzell,University of Texas-Austin,Yuhai Xuan,Harvard Business School,,,Raghavendra Rau,Male,,,,,,NA,NA,NA,NA,NA,
Rajkamal Iyer,Ex Post (in)efficient Negotiation and Breakdown of Trade,Massachusetts Institute of Technology,Jan 06 2012,10:15 AM,"Hyatt Regency, Crystal A",American Economic Association,Experiments in Firms,M5,Antoinette Schoar,Massachusetts Institute of Technology,,,,,,,,,,,RAJKAMAL IYER,Male,,,,,,NA,NA,NA,NA,NA,
Ralph Bradley,Feasible Methods to Estimate Disease Based Price Indexes,Bureau of Labor Statistics,Jan 06 2012,2:30 PM,"Hyatt Regency, Skyway 272",Society of Government Economists,New Challenges for Measurement and Analysis in Government Economics,C1,Daniel Newlon,American Economic Association,Adam Hersh,Center for American Progress,Nadia Karamcheva,Urban Institute,Sherrie L.W. Rhine,Federal Deposit Insurance Corporation,Richard Spivack,National Institute for Standards and Technology,Mark Regets,National Science Foundation,RALPH BRADLEY,Male,,,,,,NA,NA,NA,NA,NA,
Ralph Koijen,Health and Mortality Delta: Assessing the Welfare Cost of Household Insurance Choice,University of Chicago,Jan 07 2012,2:30 PM,"Hyatt Regency, Columbus EF",American Economic Association,Household Finance and Risk Management,E2,Christopher Mayer,Columbia University,John Heaton,University of Chicago,Tomasz Piskorski,Columbia University,Alexander Michaelides,University of Cyprus,Francis Longstaff,University of California-Los Angeles,,,RALPH KOIJEN,Male,,,,,,NA,NA,NA,NA,NA,
Ralph Ossa,A Global View of Productivity Growth in China,University of Chicago,Jan 08 2012,10:15 AM,"Hyatt Regency, Skyway 260",American Economic Association,"Structural Change, Growth and Welfare in the Global Economy",F4,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,Rachel Ngai,London School of Economics,Diego Restuccia,University of Toronto,Francisco Buera,Federal Reserve Bank of Minneapolis,Michael Waugh,New York University,,,RALPH OSSA,Male,,,,,,NA,NA,NA,NA,NA,
Ralph Ossa,"Profits in the \New Trade\"" Approach to Trade Negotiations""",University of Chicago,Jan 06 2012,10:15 AM,"Hyatt Regency, Regency D",American Economic Association,New Directions in Trade Policy,F1,Chad Bown,World Bank,Santanu Roy,Southern Methodist University,Arnaud Costinot,Massachusetts Institute of Technology,Michele Ruta,World Trade Organization,,,,,RALPH OSSA,Male,,,,,,NA,NA,NA,NA,NA,
Raman Uppal,Asset Prices in General Equilibrium with Transactions Costs and Recursive Utility,London Business School,Jan 07 2012,8:00 AM,"Swissotel, Zurich A",American Finance Association,Asset Pricing Theory (Liquidity),G1,Dimitri Vayanos,London School of Economics & Political Science,Stavros Panageas,University of Chicago,Nicolae Garleanu,University of California-Berkeley,Thierry Foucault,HEC Paris,,,,,RAMAN UPPAL,Male,,,,,,NA,NA,NA,NA,NA,
Ramesh Johari,Mean Field Equilibria of Dynamic Auctions with Learning,Stanford University,Jan 06 2012,10:15 AM,"Hyatt Regency, Addams",Econometric Society,Analysis and Computation of Large Games and Mechanisms,C7,Aaron Bodoh-Creed,Cornell University,Eran Shmaya,Northwestern University,Fuhito Kojima,Stanford University,Joyee Deb,New York University,Parag A. Pathak,Massachusetts Institute of Technology,,,Ramesh Johari,Male,,,,,,NA,NA,NA,NA,NA,
Ramin Baghai,Equity Ownership and Product Prices,London Business School,Jan 07 2012,8:00 AM,"Swissotel, Zurich B",American Finance Association,Corporate Finance and Product and Labor Markets,G3,Sudipto Dasgupta,Hong Kong University of Science & Technology,Belen Villalonga,Harvard University,Tim Adam,Humboldt Univeristy of Berlin,David Matsa,Northwestern University,Murillo Campello,University of Illinois-Urbana-Champaign,,,RAMIN BAGHAI,Male,,,,,,NA,NA,NA,NA,NA,
Ran Duchin,"Safer Ratios, Riskier Portfolios: Banks' Response to Government Aid",University of Michigan,Jan 08 2012,10:15 AM,"Swissotel, Vevey 3","International Banking, Economics & Finance Association",The Effects of Macro-Financial Interventions,G2,W. Frame,Federal Reserve Bank of Atlanta,Mary Rosenbaum,Observatory Group,Anthony Murphy,Federal Reserve Bank of Dallas,Sumit Agarwal,Federal Reserve Bank of Chicago,Tjomme Rusticus,Northwestern University,,,RAN DUCHIN,Male,,,,,,NA,NA,NA,NA,NA,
Randall P. Ellis,Effect of the Alternative Quality Contract on Health Care Spending and Quality,Boston University,Jan 07 2012,10:15 AM,"Hyatt Regency, Buckingham",Health Economics Research Organization,Innovations in Provider Payment and Organization,I1,Michael Chernew,Harvard University,Darius Lakdawalla,University of Southern California,Jonathan Kolstad,University of Pennyslvania,Robert Town,University of Minnesota,,,,,Randall P. Ellis,Male,,,,,,NA,NA,NA,NA,NA,
Randall P. Ellis,Bending the Cost Curve? Results from a Medical Home Pilot Using Risk-Based Comprehensive Payment,Boston University,Jan 07 2012,10:15 AM,"Hyatt Regency, Buckingham",Health Economics Research Organization,Innovations in Provider Payment and Organization,I1,Michael Chernew,Harvard University,Darius Lakdawalla,University of Southern California,Jonathan Kolstad,University of Pennyslvania,Robert Town,University of Minnesota,,,,,Randall P. Ellis,Male,,,,,,NA,NA,NA,NA,NA,
Randall Wright,Endogenous Credit Cycles,University of Wisconsin,Jan 08 2012,1:00 PM,"Hyatt Regency, Dusable",Econometric Society,Credit Frictions,E5,#NAME?,,,,,,,,,,,,RANDALL WRIGHT,Male,,,,,,NA,NA,NA,NA,NA,
Randall Wright,"Homework in Monetary Economics: Inflation, Home Production, and the Production of Homes",University of Wisconsin,Jan 07 2012,2:30 PM,"Swissotel, Vevey 3",American Real Estate & Urban Economic Association/American Economic Association,Housing and the Macroeconomy,E3,Francois Ortalo-Magne,University of Wisconsin,David Andolfatto,Federal Reserve Bank of St. Louis,Erwan Quintin,University of Wisconsin,Aurel Hizmo,New York University,,,,,RANDALL WRIGHT,Male,,,,,,NA,NA,NA,NA,NA,
Raul Santaeulalia-Llopis,A Quantitative Theory of HIV Diffusion,Washington University in St. Louis,Jan 08 2012,1:00 PM,"Hyatt Regency, Regency D",American Economic Association,The Economics of Infectious Disease,I1,Tomas Philipson,University of Chicago,,,,,,,,,,,Raul Santaeulalia-Llopis,Male,,,,,,NA,NA,NA,NA,NA,
Ravi Bansal,"The Good, Bad, and Volatility Beta: A Generalized CAPM",Duke University,Jan 08 2012,10:15 AM,"Swissotel, Zurich C",American Finance Association,Macro Finance,G1,Amir Yaron,University of Pennsylvania,Stavros Panageas,University of Chicago,Stijn Van Nieuwerburgh,New York University,Lars Lochstoer,Columbia University,Hanno Lustig,University of California-Los Angeles,,,RAVI BANSAL,Male,,,,,,NA,NA,NA,NA,NA,
Regis Barnichon,What Drives Matching Efficiency? A Tale of Composition and Dispersion,Federal Reserve Board,Jan 08 2012,1:00 PM,"Hyatt Regency, Buckingham",American Economic Association,Mismatch and Structural Unemployment,E2,Thijs van Rens,CREI and Universitat Pompeu Fabra,,,,,,,,,,,Regis Barnichon,Male,,,,,,NA,NA,NA,NA,NA,
Rema Hanna,The Effect of Pollution on Labor Supply: Evidence from a Natural Experiment in Mexico City,Harvard University,Jan 08 2012,1:00 PM,"Hyatt Regency, Atlanta",American Economic Association,Air Pollution and Development,Q5,Rema Hanna,Harvard University,Matthew Neidell,Columbia University,Rema Hanna,Harvard University,Maureen Cropper,Univesity of Maryland and Resources for the Future,Paulina Oliva,University of California-Santa Barbara,,,Rema Hanna,Female,,,,,,NA,NA,NA,NA,NA,
Rema Hanna,Targeting the Poor: Evidence from a Field Experiment in Indonesia,Harvard University,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus H",American Economic Association,Including Communities in the Development Process,O1,Rema Hanna,Harvard University,Chris Blattman,Yale University,Sandip Sukhtankar,Dartmouth College,Martina Bjorkman-Nyqvist,Universita Bocconi,Rema Hanna,Harvard University,,,Rema Hanna,Female,,,,,,NA,NA,NA,NA,NA,
Rene M. Stulz,This Time Is the Same: Using Bank Performance in 1998 to Explain Bank Performance During the Recent Financial Crisis,Ohio State University,Jan 07 2012,2:30 PM,"Swissotel, Zurich C",American Finance Association,Banks: Risk-Taking and Opaqueness,G2,Francesca Cornelli,London Business School,Guillaume Plantin,University of Toulouse 1,Victoria Ivashina,Harvard Business School,Amit Seru,University of Chicago,Charles Calomiris,Columbia University,,,RENE M. STULZ,Male,René Stulz,René M. Stulz,RENE STULZ,,,NA,NA,NA,NA,NA,
Rene M. Stulz,The U.S. Left Behind: The Rise of IPO Activity Around the World,Ohio State University,Jan 07 2012,2:30 PM,"Swissotel, Zurich G",American Finance Association,Law and Finance,G3,Vojislav Maksimovic,University of Maryland,Jay Ritter,University of Florida,Josh Lerner,Harvard University,B. Espen Eckbo,Dartmouth College,Tracy Wang,University of Minnesota-Twin Cities,,,RENE M. STULZ,Male,René Stulz,René M. Stulz,RENE STULZ,,,NA,NA,NA,NA,NA,
Renee Bowen,Discretionary vs. Mandatory Spending: The Status Quo Effect,Stanford University,Jan 06 2012,8:00 AM,"Hyatt Regency, Soldier Field",American Economic Association,Policy Dynamics and Legislative Institutions,D7,Hülya Eraslan,Johns Hopkins University,,,,,,,,,,,Renee Bowen,Female,,,,,,NA,NA,NA,NA,NA,
Renfu Luo,Exactly Enough Time Starting Now: Rural Education and China's Human Capital Crisis in 2025,Chinese Academy of Sciences,Jan 06 2012,2:30 PM,"Hyatt Regency, Soldier Field",Chinese Economists Society,Children’s Health and Education in China,I1,John Giles,World Bank,Joyce Chen,Ohio State University,Hongbin Li,Tsinghua University,Alan de Brauw,International Food Policy Research Institute,,,,,Renfu Luo,Male,,,,,,NA,NA,NA,NA,NA,
Ricard Gil,Relational Renegotiation: Theory and Evidence from the Movie Industry,Johns Hopkins University,Jan 07 2012,2:30 PM,"Hyatt Regency, Buckingham",International Society for New Institutional Economics,Contracts and Institutions,K2,Oliver Williamson,University of California-Berkeley,Oliver Williamson,University of California-Berkeley,Jonathan Levin,Stanford University,Steve Tadelis,University of California-Berkeley,Bentley Macleod,Columbia University,,,RICARD GIL,Male,,,,,,NA,NA,NA,NA,NA,
Ricardo Reis,Where to Inject Liquidity? A General-Equilibrium Analysis of a Financial Crisis,Columbia University,Jan 07 2012,10:15 AM,"Hyatt Regency, Regency C",American Economic Association,Unconventional Monetary Policies in Crisis Times: Which Impact and What Legacy?,E5,Philippe Moutot,European Central Bank,James J McAndrews,Federal Reserve Bank of New York,Dieter Gerdesmeier,European Central Bank and Frankfurt School of Finance and Management,Ricardo Reis,Columbia University,Barbara Roffia,European Central Bank,Francesco P. Mongelli,European Central Bank and Goethe University Frankfurt,RICARDO REIS,Male,,,,,,NA,NA,NA,NA,NA,
Richard Akresh,Wars and Child Health: Evidence from the Eritrean-Ethiopian Conflict,University of Illinois-Urbana-Champaign,Jan 07 2012,10:15 AM,"Hyatt Regency, Skyway 265",Peace Science Society International/American Economic Association,"Conflict, Violence and Power",H5,Solomon Polachek,State University of New York-Binghamton,Michael D. Intriligator,University of California-Los Angeles,Carlos Seiglie,Rutgers University-Newark,,,,,,,RICHARD AKRESH,Male,,,,,,NA,NA,NA,NA,NA,
Richard Baldwin,Development Paradigms after Globalization's Second Unbundling,"The Graduate Institure, Geneva",Jan 06 2012,10:15 AM,"Hyatt Regency, Columbian",International Economic & Finance Society,Offshoring Theories and Evidence,F1,Elias Dinopoulos,University of Florida,Mahmut Yasar,University of Texas-Arlington,Ronald Jones,University of Rochester,Yoto V. Yotov,Drexel University,Jacques Cremer,Toulouse School of Economics,,,RICHARD BALDWIN,Male,,,,,,NA,NA,NA,NA,NA,
Richard Blundell,"Multiple Goods, Multiple Tastes and Revealed Preference",University College London,Jan 07 2012,2:30 PM,"Hyatt Regency, Wright",Econometric Society,Revealed Preferences: Modeling and Inference,C1,Richard Blundell,University College London,Ian Crawford,Oxford University,Rosa Liliana Matzkin,University of California-Los Angeles,Yuichi Kitamura,Yale University,,,,,Richard Blundell,Male,,,,,,NA,NA,NA,NA,NA,
Richard Freeman,How Does Share Ownership Affect Employee Behaviour? Evidence from a Multinational Corporation,NBER,Jan 07 2012,8:00 AM,"Hyatt Regency, Columbus G",American Economic Association,Labor Economics,J0,Virginia Wilcox-Gok,Northern Illinois University,,,,,,,,,,,RICHARD FREEMAN,Male,,,,,,NA,NA,NA,NA,NA,
Richard Green,The Evolution of House Price Capitalization and the Yield Curve,University of Southern California,Jan 07 2012,8:00 AM,"Swissotel, St. Gallen 1",American Real Estate & Urban Economic Association,House Price Volatility,R3,Thomas Thibodueau,University of Colorado-Boulder,Steve Billings,University of North Carolina-Charlotte,Peter Zorn,Freddie Mac,Liang Peng,University of Colorado-Boulder,,,,,RICHARD GREEN,Male,,,,,,NA,NA,NA,NA,NA,
Richard Holden,Organization and Information: Firms' Governance Choices in Rational-Expectations Equilibrium,University of Chicago,Jan 06 2012,8:00 AM,"Swissotel, Vevey 2",Industrial Organization Society,New Developments in the Organization of Firms,L2,Michael Waldman,Cornell University,Henry Schneider,Cornell University,Michael Waldman,Cornell University,Michael Raith,University of Rochester,Maria Guadalupe,Columbia University,,,RICHARD HOLDEN,Male,,,,,,NA,NA,NA,NA,NA,
Richard Holden,Organization and Information: Firms' Governance Choices in Rational-Expectations Equilibrium,University of Chicago,Jan 06 2012,8:00 AM,"Swissotel, Vevey 2",Industrial Organization Society,New Developments in the Organization of Firms,L2,Michael Waldman,Cornell University,Henry Schneider,Cornell University,Michael Waldman,Cornell University,Michael Raith,University of Rochester,Maria Guadalupe,Columbia University,,,Richard Holden,Male,"Richard Holden, Booth School of Business, University of Chicago",,,,,NA,NA,NA,NA,NA,
Richard Hornbeck,The Evolving Impact of the Ogallala Aquifer: Agricultural Adaptation to Groundwater and Climate,Harvard University and NBER,Jan 08 2012,8:00 AM,"Hyatt Regency, Gold Coast",American Economic Association,Water Rights: Historical Perspectives and Emerging Issues,N5,Zeynep Hansen,Boise State University and NBER,Joseph Cullen,Washington University,Pinar Keskin,Wellesley College,Jason Hansen,Naval Postgraduate School,Carl Kitchens,University of Arizona,,,RICHARD HORNBECK,Male,,,,,,NA,NA,NA,NA,NA,
Richard Hornbeck,"When the Levee Breaks: Land, Labor, and Capital in the Deep South",Havard University,Jan 07 2012,2:30 PM,"Swissotel, Vevey 1",Association of Environmental & Resource Economists,Environmental Constraints and Land-Use Decisions,Q1,Maximilian Auffhammer,University of California-Berkeley,Jeffrey Vincent,Duke University,Jarrod Welch,University of California-San Diego,Maximilian Auffhammer,University of California-Berkeley,Olivier Deschenes,University of California-Santa Barbara,,,RICHARD HORNBECK,Male,,,,,,NA,NA,NA,NA,NA,
Richard Hornbeck,Nature versus Nurture: The Environment's Persistent Influence through the Modernization of American Agriculture,Harvard University,Jan 07 2012,10:15 AM,"Hyatt Regency, Columbus CD",American Economic Association,Coping with Economic and Environmental Shocks: Institutions and Outcomes,N6,Robert Fogel,University of Chicago and NBER,Joseph Ferrie,Northwestern University,Robert Topel,University of Chicago,David Zilberman,University of California-Berkeley,,,,,RICHARD HORNBECK,Male,,,,,,NA,NA,NA,NA,NA,
Richard Stanton,"Energy Factors, Leasing Structure and the Market Price of Office Buildings in the U.S",University of California-Berkeley,Jan 08 2012,8:00 AM,"Swissotel, St. Gallen 1",American Real Estate & Urban Economic Association,Green Buildings and Residential Leases,L7,David Ling,University of Florida,Andy Naranjo,University of Florida,Stuart Rosenthal,Syracuse University,Piet Eichholtz,Maastricht University,Nai Jia Lee,National University of Singapore,,,Richard Stanton,Male,,,,,,NA,NA,NA,NA,NA,
Rita Almeida,Trade Liberalization in the Presence of Labor Market Regulations: Evidence from Matched Employer-Employee Data in Brazil,World Bank,Jan 08 2012,1:00 PM,"Hyatt Regency, Gold Coast",American Economic Association,Labor Market Impacts of Trade,F1,Adriana Kugler,Georgetown University,Petia Topalova,International Monetary Fund,Daniel Lederman,World Bank,Sebastian Galiani,Washington University in St. Louis,Nicholas Sly,University of Oregon,,,Rita Almeida,Female,,,,,,NA,NA,NA,NA,NA,
Robert C. Johnson,Proximity and Production Fragmentation,Dartmouth College,Jan 08 2012,1:00 PM,"Hyatt Regency, Grand Suite 5",American Economic Association,Global Production Chains,F1,Pol Antras,Harvard University,Esteban Rossi-Hansberg,Princeton University,Charles I. Jones,Stanford University,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,Jonathan Vogel,Columbia University,,,Robert C. Johnson,Male,,,,,,NA,NA,NA,NA,NA,
Robert C. Johnson,Proximity and Production Fragmentation,Dartmouth College,Jan 08 2012,1:00 PM,"Hyatt Regency, Grand Suite 5",American Economic Association,Global Production Chains,F1,Pol Antras,Harvard University,Esteban Rossi-Hansberg,Princeton University,Charles I. Jones,Stanford University,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,Jonathan Vogel,Columbia University,,,Robert C. Johnson,Male,,,,,,NA,NA,NA,NA,NA,
Robert Clark,Effectiveness of Employer-Provided Financial Information: Hiring to Retiring,North Carolina State University-Raleigh,Jan 06 2012,10:15 AM,"Hyatt Regency, Regency A",American Economic Association,The Effects of Financial Education and Financial Literacy,A2,B. Douglas Bernheim,Stanford University,Justine Hastings,Brown University,William Walstad,University of Nebraska-Lincoln,Urvi Neelakantan,Federal Reserve Bank of Richmond,Annamaria Lusardi,George Washington University,,,ROBERT CLARK,Male,,,,,,NA,NA,NA,NA,NA,
Robert Clark,Price Negotiation in Differentiated Products Markets: The Case of Insured Mortgages in Canada,University of Montreal,Jan 06 2012,12:30 PM,"Swissotel, Vevey 2",Industrial Organization Society,IOS Young Researchers Session,L1,Daniel Ackerberg,University of Michigan,Matthew S. Lewis,Ohio State University,Mark R. Jacobsen,University of California-San Diego,Kei Kawai,University of Pennsylvania,Shaun McRae,University of Michigan,,,ROBERT CLARK,Male,,,,,,NA,NA,NA,NA,NA,
Robert Clark,PRICE COMPETITION AND CONCENTRATION IN SEARCH AND NEGOTIATION MARKETS: EVIDENCE FROM MORTGAGE LENDING,HEC Montréal,Jan 07 2012,10:15 AM,"Hyatt Regency, Columbus EF",American Economic Association,Merger Analysis and Policy,L4,Allan Collard-Wexler,New York University,Timothy F. Bresnahan,Stanford University,Ariel Pakes,Harvard University,Matthew Gentzkow,University of Chicago,Liran Einav,Stanford University,,,ROBERT CLARK,Male,,,,,,NA,NA,NA,NA,NA,
Robert Dekle,Dynamics of Trade and Heterogeneity in General Equilibrium,University of Southern California,Jan 06 2012,2:30 PM,"Hyatt Regency, Regency C",American Economic Association,International Trade and Macroeconomics,F4,Jonathan Eaton,Pennsylvania State University,Kim Ruhl,New York University,Brent Neiman,University of Chicago,George Alessandria,Federal Reserve Bank of Philadelphia,,,,,Robert Dekle,Male,,,,,,NA,NA,NA,NA,NA,
