"","author","year"
"662","Roope Uusitalo","2015"
"663","Jennjou Chen","2015"
"664","Radhakrishnan Gopalan","2015"
"665","Azizjon Alimov","2015"
"666","Xuanjuan Chen","2015"
"667","Xisong Jin","2015"
"668","Zhenyu Gao","2015"
"669","Y. Jane Zhang","2015"
"670","Stale Navrud","2015"
"671","Morley Gunderson","2015"
"672","Xinxin Ma","2015"
"673","Francesc Dilme","2015"
"674","Chahir Zaki","2015"
"675","Kari Heerman","2015"
"676","Gopinath Munisamy","2015"
"677","Andres Vargas","2015"
"678","Berardino Palazzo","2015"
"679","Bhaskaran Swaminathan","2015"
"680","Chishen Wei","2015"
"681","Dexin Zhou","2015"
"682","Jayati Sarkar","2015"
"683","Been-Lon Chen","2015"
"684","Siu-Kai Choy","2015"
"685","Nicolas Alexandre Klein","2015"
"686","Yingni Guo","2015"
"687","Cavit Pakel","2015"
"688","Tuan-Hwee Sng","2015"
"689","José Lopez","2015"
"690","Kebin Ma","2015"
"691","In-Uck Park","2015"
"692","Maharouf Oyolola","2015"
"693","Stephan Gohmann","2015"
"694","Yueming Qiu","2015"
"695","Doh-Shin Jeon","2015"
"696","Shimeles Abebe","2015"
"697","Cesar Revoredo-Giha","2015"
"698","Jerry Hausman","2015"
"699","Andres Aradillas-Lopez","2015"
"700","Janneke Ratcliffe","2015"
"701","Kellin Chandler Stanfield","2015"
"702","S. Katie Moon","2015"
"703","Neophytos Lambertides","2015"
"704","Yanqun Zhang","2015"
"705","Hwan-sik Choi","2015"
"706","Julia Thomas","2015"
"707","Taisuke Nakata","2015"
"708","Tumer Kapan","2015"
"709","Natarajan Balasubramanian","2015"
"710","Yorghos Tripodis","2015"
"711","Vulcan Productions and Cinelan Films","2015"
"712","Shaghil Ahmed","2015"
"713","Brahima Coulibaly","2015"
"714","Huigang Chen","2015"
"715","Yuxi Jia","2015"
"716","Asam Chaudhry","2015"
"717","Seraphima Rombe-Shulman","2015"
