,author,year,
421,Jingnan (Cecilia) Chen,2013,Female
422,Rodgrio Pinto,2013,Male
423,Rémi Jedwab,2013,Male
424,Zhiliang Li,2013,Male
425,Jesus Ferreiro,2013,Male
426,H Allen Klaiber,2013,Male
427,Shutao Cao,2013,Male
428,Suchirtra J. Yegnanarayan,2013,Female
429,Mingwei Liu,2013,Male
431,Ostap Okhrin,2013,Male
432,Niven Winchester,2013,Male
433,Pabla Guerron,2013,Male
434,R. Glenn Hubbard,2013,Male
435,Buvaneshwaran Venugopal,2013,Male
436,Baixiao Liu,2013,Male
437,Shage Zhang,2013,Female
438,Ekkehart Boehmer,2013,Male
439,Victor Martinez,2013,Male
440,Jongha Lim,2013,Female
441,Degol Hailu,2013,Male
442,Botond Koszegi,2013,Male
443,Jose Scheinkman,2013,Male
445,Kyoto Yamazaki,2013,
446,Phanindra V. Wunnava,2013,Male
447,Xiaoyu Huang,2013,Male
448,Biswo Poudel,2014,Male
450,Young-Il Kim,2014,Male
451,Taejong Kim,2014,Male
452,Jungho Kim,2014,Male
453,Bing-ru Teh,2014,Male
454,Honbin Li,2014,Male
455,Sugato Chakravarty,2014,Male
457,Osea Giuntella,2014,Male
458,Kalena Cortes,2014,Female
459,Incheol Kim,2014,Male
460,Thushyanthan Baskaran,2014,Male
462,Xiaodan Gao,2014,Female
463,Seow Eng Ong,2014,Male
464,Chamna Yoon,2014,Male
466,Yanrui Wu,2014,Male
467,Danling Jiang,2014,Female
468,Jianqing Fan,2014,Male
469,Zhipeng Liao,2014,Male
470,Leonard Tchuindjo,2014,Male
471,Sephorah Joanne Mangin,2014,Female
472,Wen-Jui Han,2014,Female
473,Christaan Hogendorn,2014,Male
474,J. A. Tapia Granados,2014,Male
476,Shaianne Osterreich,2014,Female
477,A.N. Orisakwe,2014,Male
478,Akpan Ekpo,2014,Male
479,Xiaoxue Du,2014,Female
480,Femke De Keulenaer,2014,Female
481,Erwann Michel-Kerjan,2014,Male
483,Berardino Palazzo,2014,Male
485,Ngoc-Khanh Tran,2014,Male
488,Diksha Arora,2014,Female
489,Changzheng Liu,2014,Male
491,Binglin Gong,2014,Female
492,Braz Camargo,2014,Male
493,Yuanchuan Lien,2014,Male
494,Boromeus Wanengkirtyo,2014,Male
495,Parke Wilde,2014,Male
497,Anusa Datta,2014,Female
498,Bansi Sawhney,2014,Male
499,J. Huang,2014,Female
500,H. Qiu,2014,Male
501,Quilin Chen,2014,Male
502,Jose J. Vazquez,2014,Male
503,Caine Rolleston,2014,Male
504,Jadwiga R. Ziolkowska,2014,Female
505,Stéphane Hallegatte,2014,Female
506,Xiaohui Tian,2014,Female
507,Garett Jones,2014,Male
509,Bastiaan Oud,2014,Male
510,Tano Santos,2014,Male
511,Raymindo M. Campos-Vazquez,2014,Male
512,Kewei Hou,2014,Male
514,Arjen Siegmann,2014,Male
517,Pushkar Maitra,2014,Male
520,Xuewei Yang,2014,Female
521,M. Kate Bundorf,2014,Female
522,Sevinc Rende,2014,Female
523,Heekyung Hellen Kim,2014,Female
524,Kyungho Jang,2014,Male
525,Maxim Mironov,2014,Male
526,Ekatherina V. Zhuravskaya,2014,Female
527,Per-Olof Robling,2014,Male
528,Quoc-Anh Do,2014,Male
531,Jingzhi Huang,2014,Male
533,Chenxi Luo,2014,Female
534,N. Edward Coulson,2014,Male
536,Sendhil Mullanaithan,2014,Male
537,Lenno Uuskyla,2014,Male
539,Jaeseung Kim,2014,Male
540,Dr. Jeffrey Pfeffer,2014,Male
541,G. Steven McMillan,2014,Male
542,Depankar Basu,2014,Male
543,Mthuli Ncube,2014,Male
545,Graton Gathright,2014,Male
546,Zhongjin Li,2014,Female
547,Matias Vernengo,2014,Male
548,Erlend Bø,2014,Male
549,C. Wei Li,2014,Female
550,Zackary Hawley,2014,Male
551,Tzuting Lin,2014,Female
552,Na Liu,2014,Female
554,U. Vinodhini,2014,Female
555,Agnes Tomini,2014,Female
556,Pierre-André Chiappori,2014,Male
557,Shawkat Hammoudeh,2014,Male
558,E. T. Verhoef,2014,Male
560,Jeongsik Lee,2014,Male
561,Jose Fernandez,2014,Male
562,Stephan Gohmann,2014,Male
563,Anming Zhang,2014,Male
564,Athena Roumboutsos,2014,Female
566,Linguère Mously Mbaye,2014,Female
567,Gueourgui Kambourov,2014,Male
568,Kalvinder Shields,2014,Male
569,Simon van Norden,2014,Male
570,Sandile Hlatshwayo,2014,Female
571,See-Jik Kim,2014,Male
572,Yu-Chin Hsu,2014,Male
573,Brendan Price,2014,Male
574,Mitu Gulati,2014,Male
575,Hyunseob Kim,2014,Male
576,Risheng Mao,2014,Male
577,Zdravka Todorova,2014,Female
578,C. Yiwei Zhang,2014,Female
579,Yanjiao Song,2014,Male
580,Jerry Lao,2014,Male
581,Luis Angeles,2014,Male
582,Damba Lkhagvasuren,2014,Male
583,Somesh Nigam,2014,Male
584,Aparajita Goyal,2014,Female
585,Kebin Ma,2014,Male
586,Byoung-Hyoun Hwang,2014,Male
587,Ranadeb Chaudhuri,2014,Male
588,Qinghai Wang,2014,Male
590,F. Gregory Hayden,2014,Male
591,Junmin Liao,2014,Male
592,Stephan Lauermann,2014,Male
593,Sambuddha Ghosh,2014,Male
594,Seungjin Han,2014,Male
595,Qianyun Xie,2014,Male
597,Gunseli Berik,2014,Female
599,Peer Skov,2014,Male
600,Namwook Kang,2014,Male
602,Sissel Jensen,2014,Female
603,Jiading Gai,2014,Male
604,Oguzhan Ozbas,2014,Male
606,Mouhcine Guettabi,2014,Male
607,Harounan Kazianga,2014,Male
608,Adrian Babin,2014,Male
609,Tareque Nasser,2014,Male
610,Debopam Bhattacharya,2014,Male
611,Pengfei Zhang,2014,Male
612,Costantinos Daskalakis,2014,Male
613,Martín Valdivia,2014,Male
614,Vellore Arthi,2014,Female
616,Céline Carrère,2014,Female
617,Frédéric Robert-Nicoud,2014,Male
618,Youngsuk Yook,2014,Female
619,E. Han Kim,2014,Male
620,Hualin Wan,2014,Male
621,Zhiyao Chen,2014,Female
622,Shaojin Li,2014,Male
623,Valeriy Sibilkov,2014,Female
624,A. Joseph Warburton,2014,Male
625,Siqi Zhen,2014,Female
626,Yanmin Gao,2014,Female
627,Caixia Shen,2014,Female
629,Yuzhe Zhang,2014,Male
632,Ismail Ertürk,2014,Male
633,Hyunok Lee,2015,Female
634,Jisang Yu,2015,Male
635,Simon Quinn,2015,Male
637,Patricia Anderson,2015,Female
638,Yuping Tsai,2015,Male
639,Gurdip Bakshi,2015,Male
641,Gaiyan Zhang,2015,Female
642,Arito Ono,2015,Male
643,Iichiro Uesugi,2015,Male
644,Hung-Chia Scott Hsu,2015,Male
647,Sheharyar Bokhari,2015,Male
648,Necati Celik,2015,Male
649,Chunxin Jia,2015,Female
650,Diana Bonfim,2015,Female
651,Françoise Carré,2015,Female
653,Tsz Lueng Yip,2015,Male
654,Mehrene Larudee,2015,Female
655,Victor Lippit,2015,Male
656,Julia Poznik,2015,Female
657,Guojun He,2015,Male
658,Wenbiao Cai,2015,Male
660,Wen-Tai Hsu,2015,Male
661,Guiying Laura Wu,2015,Female
662,Darracq Paries,2015,Male
663,H. E. Frech,2015,
664,Palanigounder Duraisamy,2015,Male
665,Petit Pascal,2015,Male
666,Laureline Pla,2015,Female
667,Sushanta Mallick,2015,Female
669,Shihe Fu,2015,Male
670,Kodjo Aflagah,2015,Male
671,Hoonsuk Park,2015,Male
672,Joao Paulo Vieto,2015,Male
673,Jongsub Lee,2015,Male
674,Johanna Francis,2015,Female
675,Ayse Sapci,2015,Female
676,Kris-Stella Trump,2015,Female
677,Jakina Debnam,2015,Female
678,Yrjo Koskinen,2015,Male
679,Avanidhar Subrahmanyam,2015,Male
681,Bingxu Chen,2015,Male
682,Shimeng Liu,2015,Female
683,Kenmei Tsubota,2015,Male
684,M. Bumin Yenmez,2015,Male
685,Johanna Mollerstrom,2015,Female
686,Seza Danisoglu,2015,Female
687,Nuray Guner,2015,Female
688,Binkai Chen,2015,Male
689,Subha Mani,2015,Female
690,Prudhvikar Reddy,2015,Male
693,Ljubica Nedelkoska,2015,Female
695,Zhenzhen Sun,2015,Female
697,Feven Wordofa,2015,Female
698,T.H. Gindling,2015,Male
700,Zhengyuan Gao,2015,Male
701,Ilwoo Hwang,2015,Male
702,Tymofiy Mylovanov,2015,Male
705,Swarna Sadasivam Vepa,2015,Female
706,Siyu Wang,2015,Female
707,Arunima Sinha,2015,Female
709,Fabian Eser,2015,Male
711,M. Shahid Ebrahim,2015,Male
712,V. Brian Viard,2015,Male
713,Gernot Wagner,2015,Male
714,Xiumin Martin,2015,Female
715,Mintra Dwarkasing,2015,Female
716,Chandan K. Jha,2015,Male
718,Arusha Cooray,2015,Female
719,Shreyasee Das,2015,Female
720,Hsien-Ming Lien,2015,Male
721,Chaojun Wang,2015,Male
722,Sidartha Gordon,2015,Female
723,Modibo Sidibe,2015,Male
724,Cesar Mantilla,2015,Male
725,Jean-Stéphane Mésonnier,2015,Male
726,Yuhta Ishii,2015,Male
729,Wasseem Mina,2015,Male
730,Lingxiao Zhao,2015,Male
731,T. Randolph Beard,2015,Male
732,Nicolas Aguelakakis,2015,Male
733,Inoussa Boubacar,2015,Female
734,Oluyemisi Kuku-Shittu,2015,Female
736,Yoto Yotov,2015,Male
737,Gopa Biswas,2015,Female
739,Anzelika Zaiceva,2015,Female
740,Abhilasha Srivastava,2015,Female
741,Vikkas Kakkar,2015,Male
742,Iikka Korhonen,2015,Male
743,Sagiri Kitao,2015,Female
744,Aubhik Khan,2015,Male
745,Yong-Gook Jung,2015,Female
746,Charalampos Konstantinidis,2015,Male
748,Huaxia Rui,2015,Male
749,Xiaoyu Chen,2015,Female
750,Xiaohao Ding,2015,Female
751,Yidian Liu,2015,Female
752,Yakun Hu,2015,Male
753,Birger Wernerfelt,2015,Male
754,Pavle Radicevic,2015,Male
755,Wolf-Peter Schmidt,2015,Male
756,Ekundayo Shittu,2015,Male
757,Giorgo Sertsios,2015,Male
758,Redouanne Elkamhi,2015,Male
759,Raunaq Pungaliya,2015,Male
760,Tyong Duan,2015,Male
761,Yawen Jiao,2015,Female
762,Lubomir Litov,2015,Male
763,Adlai Fisher,2015,Male
764,Bakh Mirkasimov,2015,Male
765,Hogyu Jhang,2015,Male
766,Hwagyun Kim,2015,Male
767,Yeon-Koo Che,2015,Male
768,Simon Loertscher,2015,Male
770,V. Kerry Smith,2015,Male
772,Wei-Yin Hu,2015,Male
773,Muthoni Ngatia,2015,Female
774,Karlijn Morsink,2015,Male
775,Floris Zoutman,2015,Female
776,Merig Sevilir,2015,Female
777,Tae-Hoon Lim,2015,Male
779,S. Wayne Passmore,2015,Male
781,Ivan Alexis Canay,2015,Male
783,Patricia Caulfield Dahm,2015,Female
784,Julia Bredtmann,2015,Female
785,Xinzheng Shi,2015,Male
786,Jungsuk Han,2015,Male
788,Jose Maria Liberti,2015,Male
789,Arantxa Jarque,2015,Female
790,Haitao Li,2015,Male
792,Yongheng Deng,2015,Male
793,Matjaž Koman,2015,Male
795,Terhi Maczulskij,2015,Female
796,Shafik Hebous,2016,Male
797,Renée B. Adams,2016,Female
798,Aart Gerritsen,2016,Male
799,Yoshito Takasaki,2016,Male
800,Eiichiro Kazumori,2016,Male
801,Gisle Natvik,2016,Male
802,Riikka Nuutilainen,2016,Female
803,Uros Petronijevic,2016,Male
804,Sukjin Han,2016,Male
805,Kees Waaldijk,2016,Male
806,Neepa B. Gaekwad,2016,Female
808,Andinet Woldemichael,2016,Male
810,Wensheng Kang,2016,Male
811,Naoyuki Yoshino,2016,Male
812,Quanlan Yi,2016,Female
813,Khawaja Mamun,2016,Male
814,Taisuke Nakata,2016,Male
817,Kristle Cortes,2016,Female
819,Yao-Min Chiang,2016,Male
820,Hung-Ju Chen,2016,Female
821,Yin-Chi Wang,2016,Male
822,Shuyang Sheng,2016,Male
823,Marine Carrasco,2016,Female
824,Merima Ali,2016,Female
825,Miguel Melendez,2016,Male
826,Kosali Simon,2016,Female
827,F. Andrew Hanssen,2016,Male
828,Theophile Bougna,2016,Male
829,W. Mark Brown,2016,Male
830,Ranjula Bali Swain,2016,Female
831,Qianqian Wang,2016,Female
834,Madanmohan Ghosh,2016,Male
835,Shangjin Wei,2016,Male
836,M. Fabricio Perez,2016,Male
837,Liangliang Jiang,2016,Female
838,Rustom Irani,2016,Male
839,Reiner Braun,2016,Male
840,Çağatay Bircan,2016,Male
841,Mahnaz Islam,2016,Female
842,M. Shahe Emran,2016,Male
843,M. Helal Uddin,2016,Male
845,Tilman Brück,2016,Male
846,Armağan Gezici,2016,Male
847,Luis D. Rosero,2016,Male
848,Cristelle Kouame,2016,Female
849,Jingyi Zhang,2016,Female
850,Jinji Hao,2016,Male
851,Maria-Teresa Marchica,2016,Female
853,Sayali Kulkarni,2016,Female
855,Carlianne Patrick,2016,Female
856,Nauro F. Campos,2016,Male
857,Ansgar Belke,2016,Male
858,Matías Vernengo,2016,Male
859,Bumin Yenmez,2016,Male
860,Huaming Peng,2016,Male
861,Hector Perez Saiz,2016,Male
862,Martien Lamers,2016,Male
