,author,year,gender
549,Patricia Navarro-Palau,2014,F
550,Patricia Funk,2014,F
551,Jiaping Qiu,2014,M
552,Seung-Hyun Hong,2014,M
553,Balasz Egert,2014,M
554,A. Abigail Payne,2014,F
555,MarÃ_a P. Recalde,2014,F
556,Y. Stephen Chiu,2014,M
557,Geoffroy de Clippel,2014,M
558,J. David Lopez-Salido,2014,M
559,Nantiya Ruan,2014,F
560,Khusrav Gaibulloev,2014,M
561,Wenhua Di,2014,F
562,Mehrene Larudee,2014,F
563,Mallesh Pai,2014,M
564,Huigang Chen,2014,M
565,Bakhrom Mirkasimov,2014,M
566,Chengxi Yin,2014,M
567,K. Janean Westby-Gibson,2014,
568,Ming-jen Lin,2014,M
569,Lanse Minkler,2014,M
570,J. Scott Holladay,2014,M
571,Muhamet Yildiz,2014,M
572,Amartya Lahiri,2014,M
573,Tymofiy Mylovanov,2014,M
574,Ayca Kaya,2014,F
575,Julia A. Cottle,2014,F
576,Vojtech Bartos,2014,M
577,Horag Choi,2014,M
578,Tanjim Hossain,2014,M
579,Markku Kaustia,2014,M
580,Heikki Rantakari,2014,M
581,C. Lockwood Reynolds,2014,M
582,Loretti Isabella Dobrescu,2014,F
583,Brandynn Holgate,2014,F
584,Ariaster Chimeli,2014,M
585,Johanna Wallenius,2014,F
586,Che-Yuan Liang,2014,M
587,Nadini Gupta,2014,F
588,Tabea Bucher-Koenen,2014,F
589,Loriano Mancini,2014,M
590,Yingzi Zhu,2014,F
591,Guozhong Zhu,2014,M
592,Suqin Ge,2014,F
593,Afolabi M. Mojirayo,2014,
594,Karryl Mae Ngina,2014,F
595,Malokele Nanivazo,2015,F
596,Mackensie Bluedorn,2015,F
597,Xiaoxue Du,2015,F
598,Gilat Levy,2015,F
599,Luis Felipe Cespedes,2015,M
600,Lant Pritchett,2015,M
601,Daifeng He,2015,F
602,Fousseni Chabi-Yo,2015,M
603,Ctirad Slavik,2015,M
604,Maria-Teresa Marchica,2015,F
605,Wenyu Wang,2015,M
606,Donghua Chen,2015,M
607,Kustrim Reka,2015,M
608,Florens Flues,2015,M
609,Yen-Cheng Chang,2015,M
610,Na Wang,2015,F
611,Xianhua Peng,2015,M
612,Kosali Simon,2015,F
613,Rodney Garratt,2015,M
614,Ruchira Sen,2015,F
615,Victor Zhorin,2015,M
616,Asuman Ozdaglar,2015,F
617,Dan-Olof Rooth,2015,M
618,Quoc-Anh Do,2015,M
619,Shiyang Huang,2015,M
620,Raimond Maurer,2015,M
621,Tae-Hee Jo,2015,M
622,Xingwang Qian,2015,M
623,Yannay Spitzer,2015,M
624,Jean-Stephane Mesonnier,2015,M
625,Jacobus Cilliers,2015,M
626,Malathy Duraisamy,2015,F
627,Mthuli Ncube,2015,M
628,Thouraya Triki,2015,F
629,Stergios Skaperdas,2015,M
630,Ivan Kandilov,2015,M
631,Satyanarain Rengarajan,2015,M
632,Rajashri Chakrabarti,2015,F
633,Myuang Zhang,2015,
634,JosÃ© M. Edwards,2015,M
635,Carsten Herrmann-Pillath,2015,M
636,E. Frank Stephenson,2015,M
637,Hosung Jung,2015,
638,Linxiang Ye,2015,M
639,Liqiu Zhao,2015,M
640,S. \Vish\ Viswanathan,2015,M
641,Maik Schmeling,2015,M
642,Lubomir Petrasek,2015,M
643,Tingyu Zhou,2015,F
644,Hong Ma,2015,M
645,Chong-En Bai,2015,M
646,Merijn Knibbe,2015,M
647,Paramita Sinha,2015,F
648,Xiaohan Ma,2015,M
649,M. Clement Joubert,2015,M
650,Anqi Li,2015,F
651,Cars H. Hommes,2015,M
652,Shin-Yi Chou,2015,F
653,Shailender Swaminathan,2015,M
654,JÃ_n Steinsson,2015,M
655,Ã–zgÃ_r Orhangazi,2015,M
656,Tanadej Vechsuruck,2015,M
657,Rudai Yang,2015,M
658,J. Michael Collins,2015,M
659,Sangsuk Yoon,2015,M
660,Xiaoyu Tian,2015,F
661,Ines Buono,2015,F
662,Roope Uusitalo,2015,M
663,Jennjou Chen,2015,M
664,Radhakrishnan Gopalan,2015,M
665,Azizjon Alimov,2015,M
666,Xuanjuan Chen,2015,F
667,Xisong Jin,2015,
668,Zhenyu Gao,2015,M
669,Y. Jane Zhang,2015,M
670,Stale Navrud,2015,M
671,Morley Gunderson,2015,M
672,Xinxin Ma,2015,F
673,Francesc Dilme,2015,M
674,Chahir Zaki,2015,M
675,Kari Heerman,2015,F
676,Gopinath Munisamy,2015,M
677,Andres Vargas,2015,M
678,Berardino Palazzo,2015,M
679,Bhaskaran Swaminathan,2015,M
680,Chishen Wei,2015,M
681,Dexin Zhou,2015,M
682,Jayati Sarkar,2015,F
683,Been-Lon Chen,2015,M
684,Siu-Kai Choy,2015,M
685,Nicolas Alexandre Klein,2015,M
686,Yingni Guo,2015,F
687,Cavit Pakel,2015,M
688,Tuan-Hwee Sng,2015,M
689,JosÃ© Lopez,2015,M
690,Kebin Ma,2015,M
691,In-Uck Park,2015,M
692,Maharouf Oyolola,2015,M
693,Stephan Gohmann,2015,M
694,Yueming Qiu,2015,F
695,Doh-Shin Jeon,2015,M
696,Shimeles Abebe,2015,M
697,Cesar Revoredo-Giha,2015,M
698,Jerry Hausman,2015,M
699,Andres Aradillas-Lopez,2015,M
700,Janneke Ratcliffe,2015,F
701,Kellin Chandler Stanfield,2015,M
702,S. Katie Moon,2015,F
703,Neophytos Lambertides,2015,M
704,Yanqun Zhang,2015,F
705,Hwan-sik Choi,2015,M
706,Julia Thomas,2015,F
707,Taisuke Nakata,2015,M
708,Tumer Kapan,2015,M
